[16:59:46] [INFO] received Windows console close event; shutting log-core down
[17:05:34] [INFO] received Windows console close event; shutting log-core down
[17:10:22] [INFO] received Windows console close event; shutting log-core down
[17:14:16] [INFO] received Windows console close event; shutting log-core down
[17:18:16] [INFO] received Windows console close event; shutting log-core down
[17:20:32] [INFO] received Windows console close event; shutting log-core down
[17:24:58] [INFO] received Windows console close event; shutting log-core down
[17:27:03] [INFO] received Windows console close event; shutting log-core down
[17:29:15] [INFO] received Windows console close event; shutting log-core down
[18:01:43] [INFO] received Windows console close event; shutting log-core down
[18:11:12] [INFO] received Windows console close event; shutting log-core down
[18:12:22] [INFO] received Windows console close event; shutting log-core down
[18:19:35] [INFO] received Windows console close event; shutting log-core down
[18:26:35] [INFO] received Windows console close event; shutting log-core down
[18:28:52] [INFO] received Windows console close event; shutting log-core down
[00:47:14] [INFO] received Windows console close event; shutting log-core down
[01:03:03] [INFO] received Windows console close event; shutting log-core down
[01:04:59] [INFO] received Windows console close event; shutting log-core down
[01:11:41] [INFO] received Windows console close event; shutting log-core down
[01:16:42] [INFO] received Windows console close event; shutting log-core down
[01:21:12] [INFO] received Windows console close event; shutting log-core down
[01:23:42] [INFO] received Windows console close event; shutting log-core down
[01:26:08] [INFO] received Windows console close event; shutting log-core down
[01:39:22] [INFO] received Windows console close event; shutting log-core down
[21:48:31] [INFO] received Windows console close event; shutting log-core down
[22:04:21] [INFO] received Windows console close event; shutting log-core down
[22:47:59] [INFO] received Windows console close event; shutting log-core down
[22:51:08] [INFO] received Windows console close event; shutting log-core down
[22:53:33] [INFO] received Windows console close event; shutting log-core down
[22:56:32] [INFO] received Windows console close event; shutting log-core down
[22:58:10] [INFO] received Windows console close event; shutting log-core down
[23:01:34] [INFO] received Windows console close event; shutting log-core down
[23:25:42] [INFO] received Windows console close event; shutting log-core down
[23:59:00] [INFO] received Windows console close event; shutting log-core down
[00:37:36] [INFO] received Windows console close event; shutting log-core down
[01:03:32] [INFO] received Windows console close event; shutting log-core down
[01:06:57] [INFO] received Windows console close event; shutting log-core down
[01:23:23] [INFO] received Windows console close event; shutting log-core down
[01:28:07] [INFO] received Windows console close event; shutting log-core down
[01:30:07] [INFO] received Windows console close event; shutting log-core down
[01:31:02] [INFO] received Windows console close event; shutting log-core down
[01:46:37] [INFO] received Windows console close event; shutting log-core down
[01:56:49] [INFO] received Windows console close event; shutting log-core down
[02:03:49] [INFO] received Windows console close event; shutting log-core down
[02:05:17] [INFO] received Windows console close event; shutting log-core down
[02:09:03] [INFO] received Windows console close event; shutting log-core down
[02:15:10] [INFO] received Windows console close event; shutting log-core down
[02:17:19] [INFO] received Windows console close event; shutting log-core down
[02:21:11] [INFO] received Windows console close event; shutting log-core down
[11:34:16] [INFO] received Windows console close event; shutting log-core down
[11:35:55] [INFO] received Windows console close event; shutting log-core down
[11:36:57] [INFO] received Windows console close event; shutting log-core down
[11:40:22] [INFO] received Windows console close event; shutting log-core down
[11:45:55] [INFO] received Windows console close event; shutting log-core down
[11:46:47] [INFO] received Windows console close event; shutting log-core down
[13:07:46] [INFO] received Windows console close event; shutting log-core down
[13:08:47] [INFO] received Windows console close event; shutting log-core down
[13:10:15] [INFO] received Windows console close event; shutting log-core down
[13:11:41] [INFO] received Windows console close event; shutting log-core down
[13:13:00] [INFO] received Windows console close event; shutting log-core down
[13:15:39] [INFO] received Windows console close event; shutting log-core down
[13:18:11] [INFO] received Windows console close event; shutting log-core down
[13:20:14] [INFO] received Windows console close event; shutting log-core down
[13:21:53] [INFO] received Windows console close event; shutting log-core down
[13:23:47] [INFO] received Windows console close event; shutting log-core down
[13:26:53] [INFO] received Windows console close event; shutting log-core down
[13:28:55] [INFO] received Windows console close event; shutting log-core down
[13:33:59] [INFO] received Windows console close event; shutting log-core down
[13:44:35] [INFO] received Windows console close event; shutting log-core down
[15:06:05] [INFO] received Windows console close event; shutting log-core down
[15:07:23] [INFO] received Windows console close event; shutting log-core down
[15:13:28] [INFO] received Windows console close event; shutting log-core down
[15:16:35] [INFO] received Windows console close event; shutting log-core down
[15:20:16] [INFO] received Windows console close event; shutting log-core down
[15:21:30] [INFO] received Windows console close event; shutting log-core down
[15:23:10] [INFO] received Windows console close event; shutting log-core down
[15:24:38] [INFO] received Windows console close event; shutting log-core down
[15:26:32] [INFO] received Windows console close event; shutting log-core down
[15:28:26] [INFO] received Windows console close event; shutting log-core down
[15:31:57] [INFO] received Windows console close event; shutting log-core down
[15:41:57] [INFO] received Windows console close event; shutting log-core down
[15:45:34] [INFO] received Windows console close event; shutting log-core down
[15:47:31] [INFO] received Windows console close event; shutting log-core down
[15:57:20] [INFO] received Windows console close event; shutting log-core down
[16:07:20] [INFO] received Windows console close event; shutting log-core down
[16:11:07] [INFO] received Windows console close event; shutting log-core down
[16:20:42] [INFO] received Windows console close event; shutting log-core down
[16:21:33] [INFO] received Windows console close event; shutting log-core down
[16:22:15] [INFO] received Windows console close event; shutting log-core down
[16:23:22] [INFO] received Windows console close event; shutting log-core down
[16:24:18] [INFO] received Windows console close event; shutting log-core down
[16:25:09] [INFO] received Windows console close event; shutting log-core down
[16:26:45] [INFO] received Windows console close event; shutting log-core down
[16:27:35] [INFO] received Windows console close event; shutting log-core down
[16:28:16] [INFO] received Windows console close event; shutting log-core down
[16:28:52] [INFO] received Windows console close event; shutting log-core down
[16:29:57] [INFO] received Windows console close event; shutting log-core down
[16:30:26] [INFO] received Windows console close event; shutting log-core down
[16:32:34] [INFO] received Windows console close event; shutting log-core down
[16:36:51] [INFO] received Windows console close event; shutting log-core down
[16:37:49] [INFO] received Windows console close event; shutting log-core down
[16:39:44] [INFO] received Windows console close event; shutting log-core down
[16:40:42] [INFO] received Windows console close event; shutting log-core down
[16:45:02] [INFO] received Windows console close event; shutting log-core down
[16:46:26] [INFO] received Windows console close event; shutting log-core down
[16:48:09] [INFO] received Windows console close event; shutting log-core down
[16:48:38] [INFO] received Windows console close event; shutting log-core down
[16:49:29] [INFO] received Windows console close event; shutting log-core down
[16:50:14] [INFO] received Windows console close event; shutting log-core down
[16:51:48] [INFO] received Windows console close event; shutting log-core down
[16:52:47] [INFO] received Windows console close event; shutting log-core down
[16:54:50] [INFO] received Windows console close event; shutting log-core down
[16:59:41] [INFO] received Windows console close event; shutting log-core down
[17:31:46] [INFO] received Windows console close event; shutting log-core down
[17:35:04] [INFO] received Windows console close event; shutting log-core down
[17:51:07] [INFO] received Windows console close event; shutting log-core down
[18:21:08] [INFO] received Windows console close event; shutting log-core down
[18:29:37] [INFO] received Windows console close event; shutting log-core down
[18:30:32] [INFO] received Windows console close event; shutting log-core down
[18:32:22] [INFO] received Windows console close event; shutting log-core down
[18:35:11] [INFO] received Windows console close event; shutting log-core down
[18:37:02] [INFO] received Windows console close event; shutting log-core down
[18:37:40] [INFO] received Windows console close event; shutting log-core down
[18:38:52] [INFO] received Windows console close event; shutting log-core down
[18:43:05] [INFO] received Windows console close event; shutting log-core down
[18:48:27] [INFO] received Windows console close event; shutting log-core down
[18:56:58] [INFO] received Windows console close event; shutting log-core down
[18:58:12] [INFO] received Windows console close event; shutting log-core down
[19:32:20] [INFO] received Windows console close event; shutting log-core down
[21:39:15] [INFO] received Windows console close event; shutting log-core down
[21:44:26] [INFO] received Windows console close event; shutting log-core down
[21:45:33] [INFO] received Windows console close event; shutting log-core down
[21:47:31] [INFO] received Windows console close event; shutting log-core down
[21:50:46] [INFO] received Windows console close event; shutting log-core down
[21:51:40] [INFO] received Windows console close event; shutting log-core down
[21:53:42] [INFO] received Windows console close event; shutting log-core down
[21:54:32] [INFO] received Windows console close event; shutting log-core down
[22:03:38] [INFO] received Windows console close event; shutting log-core down
[22:09:30] [INFO] received Windows console close event; shutting log-core down
[22:13:53] [INFO] received Windows console close event; shutting log-core down
[22:18:16] [INFO] received Windows console close event; shutting log-core down
[22:28:58] [INFO] received Windows console close event; shutting log-core down
[16:55:32] [INFO] received Windows console close event; shutting log-core down
[16:56:43] [INFO] received Windows console close event; shutting log-core down
[17:19:28] [INFO] received Windows console close event; shutting log-core down
[17:26:09] [INFO] received Windows console close event; shutting log-core down
[17:45:30] [INFO] received Windows console close event; shutting log-core down
[18:07:53] [INFO] received Windows console close event; shutting log-core down
[18:12:57] [INFO] received Windows console close event; shutting log-core down
[18:14:39] [INFO] received Windows console close event; shutting log-core down
[18:15:18] [INFO] received Windows console close event; shutting log-core down
[18:17:01] [INFO] received Windows console close event; shutting log-core down
[19:03:44] [INFO] received Windows console close event; shutting log-core down
[11:54:08] [INFO] received Windows console close event; shutting log-core down
[11:56:04] [INFO] received Windows console close event; shutting log-core down
[12:13:47] [INFO] received Windows console close event; shutting log-core down
[12:33:51] [INFO] received Windows console close event; shutting log-core down
[12:50:28] [INFO] received Windows console close event; shutting log-core down
[12:52:14] [INFO] received Windows console close event; shutting log-core down
[13:24:58] [INFO] received Windows console close event; shutting log-core down
[13:26:16] [INFO] received Windows console close event; shutting log-core down
[13:27:45] [INFO] received Windows console close event; shutting log-core down
[13:30:20] [INFO] received Windows console close event; shutting log-core down
[13:31:53] [INFO] received Windows console close event; shutting log-core down
[13:45:17] [INFO] received Windows console close event; shutting log-core down
[13:45:30] [INFO] received Windows console close event; shutting log-core down
[13:48:50] [INFO] received Windows console close event; shutting log-core down
[13:51:16] [INFO] received Windows console close event; shutting log-core down
[14:14:01] [INFO] received Windows console close event; shutting log-core down
[14:51:41] [INFO] received Windows console close event; shutting log-core down
[14:58:07] [INFO] received Windows console close event; shutting log-core down
[15:00:52] [INFO] received Windows console close event; shutting log-core down
[15:02:52] [INFO] received Windows console close event; shutting log-core down
[15:10:10] [INFO] received Windows console close event; shutting log-core down
[15:25:09] [INFO] received Windows console close event; shutting log-core down
[15:42:49] [INFO] received Windows console close event; shutting log-core down
[15:45:24] [INFO] received Windows console close event; shutting log-core down
[15:46:19] [INFO] received Windows console close event; shutting log-core down
[15:49:19] [INFO] received Windows console close event; shutting log-core down
[15:50:07] [INFO] received Windows console close event; shutting log-core down
[17:09:07] [INFO] received Windows console close event; shutting log-core down
[17:42:16] [INFO] received Windows console close event; shutting log-core down
[17:46:49] [INFO] received Windows console close event; shutting log-core down
[17:47:31] [INFO] received Windows console close event; shutting log-core down
[17:54:04] [INFO] received Windows console close event; shutting log-core down
[17:57:52] [INFO] received Windows console close event; shutting log-core down
[18:01:48] [INFO] received Windows console close event; shutting log-core down
[18:04:21] [INFO] received Windows console close event; shutting log-core down
[18:10:10] [INFO] received Windows console close event; shutting log-core down
[18:11:01] [INFO] received Windows console close event; shutting log-core down
[18:12:40] [INFO] received Windows console close event; shutting log-core down
[18:13:53] [INFO] received Windows console close event; shutting log-core down
[18:22:55] [INFO] received Windows console close event; shutting log-core down
[18:30:06] [INFO] received Windows console close event; shutting log-core down
[18:37:56] [INFO] received Windows console close event; shutting log-core down
[18:49:28] [INFO] received Windows console close event; shutting log-core down
[19:00:52] [INFO] received Windows console close event; shutting log-core down
[19:01:55] [INFO] received Windows console close event; shutting log-core down
[19:12:20] [INFO] received Windows console close event; shutting log-core down
[19:18:42] [INFO] received Windows console close event; shutting log-core down
[19:26:39] [INFO] received Windows console close event; shutting log-core down
[19:27:55] [INFO] received Windows console close event; shutting log-core down
[19:46:22] [INFO] received Windows console close event; shutting log-core down
[19:47:30] [INFO] received Windows console close event; shutting log-core down
[19:53:01] [INFO] received Windows console close event; shutting log-core down
[20:00:01] [INFO] received Windows console close event; shutting log-core down
[20:29:14] [INFO] received Windows console close event; shutting log-core down
[20:32:28] [INFO] received Windows console close event; shutting log-core down
[20:34:17] [INFO] received Windows console close event; shutting log-core down
[21:23:14] [INFO] received Windows console close event; shutting log-core down
[21:28:13] [INFO] received Windows console close event; shutting log-core down
[21:31:14] [INFO] received Windows console close event; shutting log-core down
[21:31:28] [INFO] received Windows console close event; shutting log-core down
[21:33:20] [INFO] received Windows console close event; shutting log-core down
[21:36:47] [INFO] received Windows console close event; shutting log-core down
[21:38:42] [INFO] received Windows console close event; shutting log-core down
[22:26:18] [INFO] received Windows console close event; shutting log-core down
[22:37:32] [INFO] received Windows console close event; shutting log-core down
[23:04:54] [INFO] received Windows console close event; shutting log-core down
[23:08:23] [INFO] received Windows console close event; shutting log-core down
[23:09:02] [INFO] received Windows console close event; shutting log-core down
[23:23:28] [INFO] received Windows console close event; shutting log-core down
[00:25:27] [INFO] received Windows console close event; shutting log-core down
[00:27:59] [INFO] received Windows console close event; shutting log-core down
[00:30:54] [INFO] received Windows console close event; shutting log-core down
[00:37:05] [INFO] received Windows console close event; shutting log-core down
[00:39:26] [INFO] received Windows console close event; shutting log-core down
[00:42:56] [INFO] received Windows console close event; shutting log-core down
[00:51:30] [INFO] received Windows console close event; shutting log-core down
[00:53:05] [INFO] received Windows console close event; shutting log-core down
[00:56:41] [INFO] received Windows console close event; shutting log-core down
[01:01:03] [INFO] received Windows console close event; shutting log-core down
[09:49:08] [INFO] received Windows console close event; shutting log-core down
[09:52:08] [INFO] received Windows console close event; shutting log-core down
[10:00:47] [INFO] received Windows console close event; shutting log-core down
[10:12:01] [INFO] received Windows console close event; shutting log-core down
[10:17:38] [INFO] received Windows console close event; shutting log-core down
[10:19:41] [INFO] received Windows console close event; shutting log-core down
[10:25:09] [INFO] received Windows console close event; shutting log-core down
[10:48:54] [INFO] received Windows console close event; shutting log-core down
[10:50:21] [INFO] received Windows console close event; shutting log-core down
[10:54:33] [INFO] received Windows console close event; shutting log-core down
[11:08:12] [INFO] received Windows console close event; shutting log-core down
[11:10:37] [INFO] received Windows console close event; shutting log-core down
[11:29:04] [INFO] received Windows console close event; shutting log-core down
[11:43:28] [INFO] received Windows console close event; shutting log-core down
[11:57:52] [INFO] received Windows console close event; shutting log-core down
[13:48:20] [INFO] received Windows console close event; shutting log-core down
[13:49:04] [INFO] received Windows console close event; shutting log-core down
[13:50:42] [INFO] received Windows console close event; shutting log-core down
[13:57:52] [INFO] received Windows console close event; shutting log-core down
[13:58:39] [INFO] received Windows console close event; shutting log-core down
[13:59:47] [INFO] received Windows console close event; shutting log-core down
[14:00:41] [INFO] received Windows console close event; shutting log-core down
[14:23:06] [INFO] received Windows console close event; shutting log-core down
[14:23:50] [INFO] received Windows console close event; shutting log-core down
[14:30:50] [INFO] received Windows console close event; shutting log-core down
[14:33:54] [INFO] received Windows console close event; shutting log-core down
[15:51:22] [INFO] received Windows console close event; shutting log-core down
[15:55:58] [INFO] received Windows console close event; shutting log-core down
[15:59:53] [INFO] received Windows console close event; shutting log-core down
[16:01:54] [INFO] received Windows console close event; shutting log-core down
[16:04:01] [INFO] received Windows console close event; shutting log-core down
[16:10:46] [INFO] received Windows console close event; shutting log-core down
[16:11:05] [INFO] received Windows console close event; shutting log-core down
[16:15:15] [INFO] received Windows console close event; shutting log-core down
[16:16:49] [INFO] received Windows console close event; shutting log-core down
[16:25:16] [INFO] received Windows console close event; shutting log-core down
[16:33:24] [INFO] received Windows console close event; shutting log-core down
[16:39:37] [INFO] received Windows console close event; shutting log-core down
[17:51:44] [INFO] received Windows console close event; shutting log-core down
[17:51:59] [INFO] received Windows console close event; shutting log-core down
[18:04:52] [INFO] received Windows console close event; shutting log-core down
[18:08:31] [INFO] received Windows console close event; shutting log-core down
[18:12:11] [INFO] received Windows console close event; shutting log-core down
[18:12:39] [INFO] received Windows console close event; shutting log-core down
[18:13:55] [INFO] received Windows console close event; shutting log-core down
[18:18:19] [INFO] received Windows console close event; shutting log-core down
[18:19:12] [INFO] received Windows console close event; shutting log-core down
[18:36:17] [INFO] received Windows console close event; shutting log-core down
[18:39:50] [INFO] received Windows console close event; shutting log-core down
[18:42:31] [INFO] received Windows console close event; shutting log-core down
[19:00:26] [INFO] received Windows console close event; shutting log-core down
[19:03:40] [INFO] received Windows console close event; shutting log-core down
[19:17:02] [INFO] received Windows console close event; shutting log-core down
[19:17:08] [INFO] received Windows console close event; shutting log-core down
[19:18:21] [INFO] received Windows console close event; shutting log-core down
[19:21:12] [INFO] received Windows console close event; shutting log-core down
[19:34:49] [INFO] received Windows console close event; shutting log-core down
[19:35:55] [INFO] received Windows console close event; shutting log-core down
[19:48:15] [INFO] received Windows console close event; shutting log-core down
[19:59:14] [INFO] received Windows console close event; shutting log-core down
[20:16:43] [INFO] received Windows console close event; shutting log-core down
[20:32:23] [INFO] received Windows console close event; shutting log-core down
[22:27:43] [INFO] received Windows console close event; shutting log-core down
[22:39:21] [INFO] received Windows console close event; shutting log-core down
[22:43:14] [INFO] received Windows console close event; shutting log-core down
[22:51:39] [INFO] received Windows console close event; shutting log-core down
[23:59:55] [INFO] received Windows console close event; shutting log-core down
[00:13:01] [INFO] received Windows console close event; shutting log-core down
[00:15:53] [INFO] received Windows console close event; shutting log-core down
[00:22:12] [INFO] received Windows console close event; shutting log-core down
[00:30:33] [INFO] received Windows console close event; shutting log-core down
[09:50:53] [INFO] received Windows console close event; shutting log-core down
[09:54:07] [INFO] received Windows console close event; shutting log-core down
[10:02:23] [INFO] received Windows console close event; shutting log-core down
[10:04:28] [INFO] received Windows console close event; shutting log-core down
[10:09:57] [INFO] received Windows console close event; shutting log-core down
[10:11:41] [INFO] received Windows console close event; shutting log-core down
[10:27:56] [INFO] received Windows console close event; shutting log-core down
[10:31:43] [INFO] received Windows console close event; shutting log-core down
[10:35:10] [INFO] received Windows console close event; shutting log-core down
[10:44:49] [INFO] received Windows console close event; shutting log-core down
[11:16:13] [INFO] received Windows console close event; shutting log-core down
[11:30:21] [INFO] received Windows console close event; shutting log-core down
[11:44:56] [INFO] received Windows console close event; shutting log-core down
[11:52:00] [INFO] received Windows console close event; shutting log-core down
[12:01:17] [INFO] received Windows console close event; shutting log-core down
[12:03:33] [INFO] received Windows console close event; shutting log-core down
[12:08:34] [INFO] received Windows console close event; shutting log-core down
[12:16:40] [INFO] received Windows console close event; shutting log-core down
[12:38:32] [INFO] received Windows console close event; shutting log-core down
[12:47:48] [INFO] received Windows console close event; shutting log-core down
[12:53:30] [INFO] received Windows console close event; shutting log-core down
[12:55:36] [INFO] received Windows console close event; shutting log-core down
[13:08:25] [INFO] received Windows console close event; shutting log-core down
[13:11:05] [INFO] received Windows console close event; shutting log-core down
[13:15:52] [INFO] received Windows console close event; shutting log-core down
[13:20:11] [INFO] received Windows console close event; shutting log-core down
[13:24:39] [INFO] received Windows console close event; shutting log-core down
[14:04:11] [INFO] received Windows console close event; shutting log-core down
[14:24:47] [INFO] received Windows console close event; shutting log-core down
[14:25:02] [INFO] received Windows console close event; shutting log-core down
[14:37:35] [INFO] received Windows console close event; shutting log-core down
[14:46:01] [INFO] received Windows console close event; shutting log-core down
[14:46:34] [INFO] received Windows console close event; shutting log-core down
[15:44:16] [INFO] received Windows console close event; shutting log-core down
[16:04:03] [INFO] received Windows console close event; shutting log-core down
[16:04:10] [INFO] received Windows console close event; shutting log-core down
[16:24:45] [INFO] received Windows console close event; shutting log-core down
[16:47:30] [INFO] received Windows console close event; shutting log-core down
[19:43:59] [INFO] received Windows console close event; shutting log-core down
[20:00:54] [INFO] received Windows console close event; shutting log-core down
